name,current_rank,current_pts
Francisca Jorge,229,333
Kajsa Rinaldo Persson,230,333
Whitney Osuigwe,231,332
Irene Burillo,232,332
Polona Hercog,233,329
Alicia Dudeney,234,323
Loïs Boisson,235,322
Francesca Curmi,236,321
Justina Mikulskytė,237,314
Barbora Palicová,238,314
Martina Capurro Taborda,239,312
Vivian Wolff,240,308
Caijsa Hennemann,241,307
Sara Saito,242,307
Katrina Scott,243,306
Caroline Dolehide,244,302
Mia Pohánková,245,300
Alice Ramé,246,298
Carolyn Ansari,247,298
Zhuoxuan Bai,248,297
Anna-Lena Friedsam,249,297
Katarina Zavatska,250,293
Xinyu Gao,251,292
Lina Gjorcheska,252,291
Séléna Janicijevic,253,288
Cadence Brace,254,287
Fangran Tian,255,286
Olivia Gadecki,256,285
Mei Yamaguchi,257,282
Haruka Kaji,258,282
Elena Ruxandra Bertea,259,282
Valentina Ryser,260,279
Han Shi,261,278
Anastasia Tikhonova,262,277
Ayana Akli,263,276
Fiona Crawley,264,274
Noemi Basiletti,265,270
Dayeon Back,266,270
Jessika Ponchet,267,269
Sada Nahimana,268,267
Rina Saigo,269,266
Sofya Lansere,270,263
Anastasia Zolotareva,271,260
Katarína Kuzmová,272,260
Elena Micic,273,259
Mika Stojsavljevic,274,259
Federica Urgesi,275,258
Berfu Cengiz,276,258
Xinxin Yao,277,256
Ane Mintegi Del Olmo,278,256
Kyōka Okamura,279,254
Hina Inoue,280,252
Caroline Werner,281,251
Lea Ma,282,251
Julieta Pareja,283,249
Yuki Naito,284,248
Vera Zvonareva,285,247
Daria Khomutsianskaya,286,246
Eva Guerrero Álvarez,287,245
Yasmine Kabbaj,288,245
Aurora Zantedeschi,289,245
Chloé Paquet,290,243
Lizette Cabrera,291,242
Han-na Chang,292,242
Martha Matoula,293,242
Matilde Jorge,294,239
Mina Hodzic,295,239
Samira de Stefano,296,238
Gina Feistel,297,236
Zongyu Li,298,235
En-shuo Liang,299,235
Savannah Broadus,300,234
Giorgia Pedone,301,233
Hibah Shaikh,302,232
Anastasia Kulikova,303,231
Britt Du Pree,304,231
Rositsa Dencheva,305,231
Eva Bennemann,306,229
Olga Danilović,307,228
Viktória Morvayová,308,228
Yufei Ren,309,227
Alicia Herrero Liñana,310,225
Carolina Alves,311,225
Weronika Falkowska,312,224
Viktoriya Tomova,313,221
Elena Malygina,314,221
